noun.relation	noun.location
noun.relation	noun.location
noun.communication	noun.communication
noun.cognition	noun.communication
noun.act	noun.act
noun.communication	noun.communication
noun.relation	noun.person
noun.group	noun.person
noun.relation	noun.relation
noun.Tops	noun.person
noun.cognition	noun.Tops
noun.person	noun.person
noun.person	noun.person
noun.relation	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.person	noun.person
noun.relation	noun.relation
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.relation
noun.location	noun.location
noun.relation	noun.relation
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.state	noun.state
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.state
noun.relation	noun.relation
noun.relation	noun.state
noun.person	noun.person
noun.state	noun.state
noun.quantity	noun.quantity
noun.quantity	noun.quantity
noun.person	noun.person
noun.attribute	noun.state
noun.group	noun.group
noun.group	noun.group
noun.group	noun.group
noun.group	noun.event
noun.group	noun.event
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.time	noun.time
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.relation	noun.relation
noun.relation	noun.relation
noun.relation	noun.relation
noun.location	noun.location
noun.state	noun.event
noun.location	noun.location
noun.relation	noun.quantity
noun.time	noun.time
noun.relation	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.location	noun.location
noun.artifact	noun.artifact
noun.artifact	noun.artifact
noun.artifact	noun.artifact
noun.location	noun.location
noun.location	noun.location
